"Daily Weather Observations for Sydney, New South Wales for January 2019"
"Prepared at 13:00 UTC on Saturday 18 May 2019   IDCJDW2124.201901"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity, pressure and rainfall observations are from Sydney (Observatory Hill) {station 066062}"
"Cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-01-1,21.7,31.6,8.8,0.8,12.6,W,31,01:31,26.2,61,1,ENE,15,1011.8,29.9,43,1,ESE,13,1009.6
,2019-01-2,21.4,29.8,0,10.6,7.9,E,30,13:06,24.9,70,7,S,11,1012.1,25.6,69,4,ENE,24,1009.3
,2019-01-3,21.4,28.8,0,7.4,6.0,NNE,39,18:25,23.4,75,7,SSW,13,1013.6,25.6,64,6,E,15,1012.4
,2019-01-4,20.9,32.2,0,6.8,12.5,E,31,11:32,24.1,73,4,ENE,7,1013.8,27.0,61,1,ENE,17,1010.5
,2019-01-5,22.6,37.8,0,9.8,7.4,SSE,65,16:36,32.2,38,1,ESE,4,1007.9,27.0,61,6,S,31,1006.9
,2019-01-6,17.9,22.0,26.2,15.0,0.0,SSW,44,04:07,18.3,82,8,SSW,19,1016.9,20.6,70,8,S,19,1017.7
,2019-01-7,18.3,25.6,0,1.6,0.2,S,22,05:52,21.7,71,8,SE,13,1020.3,21.2,88,8,ESE,15,1018.5
,2019-01-8,20.7,28.4,0.6,1.8,10.4,SSW,46,20:06,25.5,70,2,E,11,1014.9,26.9,58,1,ENE,26,1010.3
,2019-01-9,20.8,30.4,4.8,12.0,11.1,SSE,54,14:31,24.6,72,3,WNW,17,1010.8,27.1,60,3,SE,35,1011.4
,2019-01-10,20.9,22.3,0,6.6,0.0,SSW,39,06:51,21.1,81,8,SSW,22,1017.7,21.9,77,8,SSE,22,1017.3
,2019-01-11,20.3,27.9,0.8,3.0,4.7,ENE,31,16:00,22.3,82,8,S,4,1019.2,23.4,79,7,ENE,15,1016.6
,2019-01-12,20.7,28.8,3.8,4.0,11.7,ENE,28,14:19,25.3,70,1,ENE,11,1016.7,28.2,61,1,NE,15,1014.6
,2019-01-13,21.8,27.8,0,9.4,8.5,SSW,48,08:13,22.7,75,6,S,22,1019.9,26.1,57,7,SSE,26,1020.2
,2019-01-14,21.6,28.4,0,6.2,8.9,NE,46,17:46,25.0,70,5,W,4,1019.2,27.4,56,1,NE,26,1015.5
,2019-01-15,22.5,29.0,0,10.6,12.1,NNE,50,18:21,26.2,64,1,NE,13,1014.2,28.3,58,1,ENE,24,1010.5
,2019-01-16,22.2,30.3,0,10.0,12.1,E,26,16:14,26.6,67,1,ENE,4,1010.4,29.0,57,1,E,19,1009.2
,2019-01-17,22.8,29.0,0,8.0,10.8,NE,41,18:54,25.0,74,3,N,4,1012.7,27.7,60,1,ENE,24,1009.1
,2019-01-18,22.8,32.4,0,10.0,12.4,S,56,22:41,24.8,68,5,ENE,24,1014.1,28.0,61,2,E,22,1008.9
,2019-01-19,23.5,26.4,0,11.4,0.0,S,54,10:47,25.8,68,7,ESE,6,1014.9,24.2,67,7,SSE,31,1018.0
,2019-01-20,20.8,26.6,0,4.4,0.0,SSW,22,06:05,22.6,74,8,S,9,1021.3,25.8,61,7,E,15,1018.7
,2019-01-21,21.9,26.6,0.4,3.8,0.4,NNE,31,20:58,23.4,80,7,WNW,2,1019.3,25.3,75,7,ENE,9,1017.3
,2019-01-22,22.1,29.3,0.2,3.4,13.2,NE,37,16:47,25.3,74,2,W,9,1016.0,27.8,62,2,ENE,19,1012.6
,2019-01-23,22.2,29.8,0.4,9.4,4.5,SSW,72,14:46,23.5,83,7,NNW,4,1010.2,26.9,55,4,SSW,41,1010.9
,2019-01-24,21.9,28.0,0,8.0,0.5,SSW,46,00:28,22.1,81,7,SW,15,1017.1,26.9,57,7,S,15,1015.8
,2019-01-25,22.1,30.2,0,3.8,12.6,NNE,46,17:09,27.7,63,1,NE,7,1014.2,28.6,61,0,NE,19,1010.2
,2019-01-26,23.2,35.1,0,10.2,10.3,S,35,22:36,28.8,63,1,N,6,1008.6,31.0,52,1,SE,17,1007.0
,2019-01-27,23.2,34.4,0,7.6,7.9,,,,26.5,69,2,WNW,17,1008.8,30.3,56,1,S,28,1007.8
,2019-01-28,22.7,30.6,2.8,8.6,4.6,SSW,35,05:16,23.2,83,8,S,13,1015.7,30.3,55,3,SSE,24,1014.6
,2019-01-29,22.9,29.6,0,6.8,12.2,ENE,52,23:29,27.3,64,1,E,13,1014.5,28.8,55,1,NE,19,1011.4
,2019-01-30,22.7,28.4,0,9.6,1.9,NE,39,20:17,25.5,73,7,ENE,2,1013.1,28.1,63,8,ENE,13,1010.3
,2019-01-31,22.8,39.6,0,5.8,9.2,S,83,18:01,27.8,55,5,ESE,7,1009.3,37.9,25,2,N,17,1006.8